epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,473.827,1.27794,1.57491,1.33865,0.77527,0.74553,0.76579,0.50773,1.22983,0.93654,1.36048,0.00332967,0.00332967,0.00332967
2,944.21,1.16527,0.94048,1.22873,0.81125,0.73234,0.81355,0.55054,1.24279,0.90181,1.35466,0.00653107,0.00653107,0.00653107
3,1403.85,1.22669,1.03055,1.26369,0.75564,0.63661,0.68323,0.43222,1.38019,1.37501,1.49617,0.00960048,0.00960048,0.00960048
4,1864.05,1.24933,1.06137,1.28397,0.81034,0.70735,0.78101,0.50839,1.29183,0.99095,1.40332,0.009406,0.009406,0.009406
5,2316.64,1.17268,0.95119,1.24513,0.84183,0.77848,0.83605,0.57173,1.15584,0.83139,1.3169,0.009208,0.009208,0.009208
6,2774.95,1.1204,0.87442,1.21377,0.86365,0.81265,0.86911,0.61526,1.07972,0.73621,1.25694,0.00901,0.00901,0.00901
7,3234.65,1.0818,0.82351,1.19243,0.8625,0.81408,0.87832,0.63759,1.05662,0.71551,1.24053,0.008812,0.008812,0.008812
8,3715.12,1.04902,0.78042,1.17426,0.87402,0.83069,0.89506,0.64585,1.02622,0.65508,1.21612,0.008614,0.008614,0.008614
9,4184.27,1.02614,0.75338,1.15906,0.8789,0.85869,0.90888,0.67018,1.01182,0.61784,1.21294,0.008416,0.008416,0.008416
10,4642.1,1.00377,0.72369,1.14312,0.89941,0.85693,0.90942,0.67624,0.98448,0.58777,1.18914,0.008218,0.008218,0.008218
11,5107.61,0.98922,0.6996,1.13492,0.90946,0.86546,0.92054,0.68558,0.97763,0.58059,1.17966,0.00802,0.00802,0.00802
12,5580.29,0.97138,0.67937,1.12518,0.90726,0.87219,0.92177,0.69487,0.95774,0.55484,1.1718,0.007822,0.007822,0.007822
13,6032.81,0.95601,0.66162,1.11752,0.9065,0.86859,0.92127,0.69723,0.94575,0.54422,1.16608,0.007624,0.007624,0.007624
14,6495.11,0.94221,0.64203,1.10534,0.91304,0.88219,0.92988,0.70824,0.9276,0.52958,1.14821,0.007426,0.007426,0.007426
15,6943.1,0.92782,0.6283,1.09994,0.90962,0.8862,0.9287,0.7116,0.92165,0.51499,1.14681,0.007228,0.007228,0.007228
16,7402.56,0.91804,0.62043,1.09745,0.9195,0.88191,0.93334,0.72367,0.90463,0.51175,1.13462,0.00703,0.00703,0.00703
17,7861.4,0.90374,0.60095,1.08588,0.92107,0.88761,0.937,0.72283,0.90332,0.49884,1.13634,0.006832,0.006832,0.006832
18,8313.3,0.89115,0.59224,1.08332,0.92487,0.89315,0.93951,0.72964,0.89487,0.48756,1.1301,0.006634,0.006634,0.006634
19,8757.62,0.88214,0.57876,1.07443,0.91778,0.89956,0.93713,0.73142,0.89488,0.47795,1.12814,0.006436,0.006436,0.006436
20,9232.45,0.87471,0.56793,1.07059,0.92079,0.90164,0.93838,0.73228,0.89036,0.4728,1.12849,0.006238,0.006238,0.006238
21,9708.52,0.8646,0.55725,1.06701,0.91524,0.90138,0.94108,0.73703,0.8875,0.47166,1.12595,0.00604,0.00604,0.00604
22,10187.3,0.85213,0.54941,1.05633,0.91843,0.89856,0.93881,0.73508,0.88185,0.47111,1.12389,0.005842,0.005842,0.005842
23,10652.8,0.84123,0.53738,1.05303,0.912,0.90414,0.94013,0.73873,0.87771,0.46256,1.11902,0.005644,0.005644,0.005644
24,11131.6,0.83547,0.53444,1.05027,0.91642,0.89749,0.93969,0.73851,0.87732,0.46656,1.12179,0.005446,0.005446,0.005446
25,11611.3,0.8261,0.52244,1.04329,0.90976,0.90182,0.94049,0.73859,0.8768,0.45946,1.12155,0.005248,0.005248,0.005248
26,12091.6,0.81373,0.51173,1.03874,0.91061,0.90179,0.93961,0.74248,0.87674,0.45942,1.12175,0.00505,0.00505,0.00505
27,12569.3,0.80447,0.50106,1.03442,0.92912,0.88506,0.94072,0.74171,0.87441,0.45421,1.121,0.004852,0.004852,0.004852
28,13041.7,0.7972,0.49173,1.0297,0.92655,0.89446,0.94352,0.7459,0.87587,0.45162,1.12313,0.004654,0.004654,0.004654
29,13516.7,0.78575,0.48588,1.02109,0.92697,0.88695,0.94162,0.74615,0.87194,0.45192,1.12028,0.004456,0.004456,0.004456
30,13989.1,0.77837,0.47977,1.01941,0.92288,0.89479,0.94102,0.74576,0.87091,0.45287,1.12102,0.004258,0.004258,0.004258
31,14460.6,0.76805,0.46844,1.01314,0.92365,0.8946,0.94166,0.7467,0.86868,0.45117,1.12092,0.00406,0.00406,0.00406
32,14925.7,0.75652,0.46046,1.01104,0.92511,0.89298,0.94096,0.74736,0.86685,0.44905,1.12086,0.003862,0.003862,0.003862
33,15386.8,0.75303,0.45265,1.01006,0.92363,0.89663,0.9411,0.74763,0.86554,0.44925,1.12083,0.003664,0.003664,0.003664
34,15844.4,0.74165,0.44524,1.00197,0.92464,0.89506,0.94109,0.7474,0.86541,0.44758,1.12219,0.003466,0.003466,0.003466
35,16310.9,0.73336,0.44189,0.99842,0.92583,0.89709,0.94147,0.74836,0.86444,0.44718,1.12266,0.003268,0.003268,0.003268
36,16775.7,0.72594,0.43168,0.99596,0.92437,0.89552,0.9411,0.74836,0.86309,0.44703,1.12234,0.00307,0.00307,0.00307
37,17246.9,0.71666,0.42576,0.99124,0.9224,0.89578,0.94036,0.74745,0.86354,0.44678,1.12374,0.002872,0.002872,0.002872
38,17717.4,0.70916,0.42105,0.98672,0.92403,0.89639,0.94026,0.74644,0.86496,0.44671,1.12629,0.002674,0.002674,0.002674
39,18186.5,0.69658,0.4134,0.97904,0.91861,0.90055,0.93886,0.74607,0.86375,0.44667,1.12492,0.002476,0.002476,0.002476
40,18660.6,0.68782,0.40488,0.97759,0.92336,0.89603,0.93821,0.74652,0.86392,0.44724,1.12516,0.002278,0.002278,0.002278
41,19152.5,0.63333,0.32109,0.9549,0.92325,0.89575,0.93887,0.74718,0.86366,0.4478,1.12449,0.00208,0.00208,0.00208
42,19617.6,0.61329,0.30893,0.94593,0.92446,0.89322,0.93924,0.74773,0.86384,0.44775,1.12558,0.001882,0.001882,0.001882
43,20078.7,0.60089,0.30303,0.93949,0.92376,0.8936,0.93862,0.74777,0.86356,0.44808,1.12628,0.001684,0.001684,0.001684
44,20549.7,0.58322,0.29276,0.92858,0.9222,0.89392,0.93801,0.74846,0.86348,0.44829,1.12686,0.001486,0.001486,0.001486
45,21023.3,0.57017,0.28477,0.92524,0.91797,0.89775,0.93754,0.74856,0.86306,0.44941,1.12724,0.001288,0.001288,0.001288
46,21496.9,0.55671,0.27813,0.91791,0.90951,0.90474,0.93769,0.74866,0.8626,0.44975,1.12777,0.00109,0.00109,0.00109
47,21972.1,0.54524,0.27013,0.91188,0.90604,0.90842,0.93749,0.7486,0.86239,0.44999,1.12848,0.000892,0.000892,0.000892
48,22444.9,0.53245,0.26358,0.9069,0.9064,0.90785,0.93679,0.74788,0.86278,0.45036,1.13003,0.000694,0.000694,0.000694
49,22917.5,0.51973,0.25673,0.90026,0.90974,0.90249,0.93549,0.74736,0.86349,0.45252,1.13142,0.000496,0.000496,0.000496
50,23390.5,0.50908,0.25057,0.89802,0.92071,0.89417,0.93488,0.74698,0.86415,0.4535,1.13302,0.000298,0.000298,0.000298
